M31P100,9.5 12,5 4.3,9 12.6
M31P101,9.5 11.3,4 4.3,9 13.3
M31P102,11.5,4.5,12.8
M31P103,-29. -5 11,15 15 5,3.55 3.8 12.3
M31P104,-27. 0 10.7,15 10 5.5,3.07 5 11.3
M31P110,-10. 9.5 12.8,7 6 3.8,4.60 9 14.4
M31P111,-14. 9.5 12.8,10 5 3.8,3.51 9 13.7
M31P112,9.5 11.2,5 4.5,9 13.3
M31P113,9.5 10.7,6.30 5,9 13.1
M31P120,-36. -12. 9.5 12.5,15 15 5 3.8,2.85 3.92 9 15.1
M31P121,-37. -12. -3 9.5 12.8,12.6 15 10 5 3.8,4.15 3.92 4.7 9 15.1
M31P122,-37. -10. 9.5 12,12.6 15 5.5 3.8,3.83 4.33 9 14.7
M31P16,-33. 2 10.7,13 7 5.5,2.57 3 9.41
M31P17,-31. 10.7,6.30 6.30,1.89 10.2
M31P18,-31. -2 10.3,15 13 5.5,1.62 2 10.6
M31P25,-31. -3 10.7,17 10 5,2.31 2.5 8.59
M31P26,-31. 10.7,7.71 7.71,2.47 9.43
M31P27,-41. -27. 10.7 130.,4.20 4.20 7.01 7.01,1.51 1.73 10.3 -5.0
M31P28,-31. 10.7,5.60 5.60,1.62 11.6
M31P35,-33. 0 10.7,15 10 5.6,2.85 3 8.11
M31P36,-29. 10.7 155.,4.90 8.41 10.5,2.29 9.27 -1.5
M31P37,-29. 10.7 124.,11.9 7.71 8.41,2.40 10.4 -5.5
M31P38,-27. 0 10.7,14.0 15 5.20,2.26 3.3 12.1
M31P44,-22. -5 10.7,4 15 5.6,4.64 2.5 9.75
M31P45,-25. 10.7 124.,8.41 7.71 4.5,3.16 9.48 -1.4
M31P46,-31. 10.7 92.7,5.60 7.71 9.81,2.66 10.1 -5.5
M31P47,-31. 10.7 166.,7.01 6.30 9.81,2.58 11.5 -2.4
M31P48,-28. -3 10.7,15 10 4.7,2.03 3 12.4
M31P53,-31. -10. 10.7,15 13 5.3,2.56 3.55 10.9
M31P54,-31. -18. 10.7,15 10 5,2.53 4.05 11.6
M31P55,-29. 10.7 107.,7.01 4.90 17.5,2.87 11.6 -5.1
M31P56,-31. 10.7 136.,5.60 6.30 9.81,3.43 12.9 -2.8
M31P57,-29. 3 10.5,10 15 4.3,2.51 3.8 13.4
M31P58,-29. 3 9.9,10 15 4.2,2.62 5 13.1
M31P62,-31. -10. 10.7,10 10 5.3,2.97 4.63 9.71
M31P63,-10. 10.7,15 5.1,4.33 10.1
M31P64,-31. -12. 10.7,2.10 2.10 12.6,2.78 3.81 9.81
M31P65,-31. 10.7 128.,5.60 5.60 8.41,3.58 11.5 -1.6
M31P66,-50. -29. 10.7,2.10 2.80 4.90,1.56 2.86 13.3
M31P67,-27. -3 10.7,10 10 4.1,2.62 5 14
M31P72,-33. -16. 10.7,10 12 5.5,3.53 4.32 9.41
M31P73,-14. 10.7,13 5.5,5.00 9.71
M31P74,-29. -14. 10.7,10 15 5.3,3.19 3.11 10.3
M31P75,-29. -2 10.7,8.41 10 5,3.82 3 11.1
M31P76,-29. -2 10.7,7.01 10 4.3,2.99 3 12.4
M31P81,-35. -14. 11.5,10 10 4.8,3.65 5.47 10.9
M31P82,-33. -20. 11.5,7.71 15 4.9,5.09 4.18 10.9
M31P83,-16. 2 10.7,10.5 5 5.5,3.99 5 10.6
M31P84,-29. 3 10.7,10.5 5 5.5,3.56 5 9.93
M31P85,-29. 0 10.7,10 7 5.5,3.38 4 10.9
M31P86,-27. 0 10.7,10 7 5,2.99 4 10.9
M31P90,-33. -14. 12,15 15 5,3.17 3.87 11.5
M31P91,-33. -16. 10.7,15 10 5,3.88 3.68 11.1
M31P92,10.7,5.60,11.1
M31P93,10.7,5.6,10.7
M31P94,-29. -12. 10.7,10 10 5,3.59 3.13 10.5
M31P95,-26 0 9,16 5 5.7,2.63 5 10.9
S8A,17.0,12.6,52.5
S8B,17.0,12.6,52.5
